Title,Metascore,Userscore
Being John Malkovich,90,8.2
Greyhound,64,7.1
Like Crazy,68,7.1
Tarzan,80,7.8
Rushmore,87,8.2
Clerks,70,8.0
Sicario,82,8.0
Life of Pi,79,7.9
Oceans,75,7.5
Hedwig and the Angry Inch,85,7.9
Spellbound,80,7.3
American Psycho,64,7.9
Inside Man,76,7.4
Babylon,80,5.6
On the Basis of Sex,59,6.7
Once,90,8.0
The Devil Wears Prada,62,7.4
Taken,51,7.6
Grease,70,7.7
Frances Ha,82,7.9
Law Abiding Citizen,34,6.7
The Fighter,79,8.1
The Last of the Mohicans,76,8.0
Shine,87,7.8
Black Hawk Down,74,7.9
Legends of the Fall,45,7.1
Interview with the Vampire,N/A,N/A
Zulu,77,7.2
Moonlight,59,tbd
Submarine,76,7.7
A Time to Kill,53,7.1
The Piano,89,7.9
Beetlejuice,71,7.9
Office Space,68,7.9
If I Stay,46,5.9
No Time to Die,68,6.3
Serenity,74,7.3
Serenity,74,7.3
Jungle Cruise,50,6.1
Turning Red,N/A,N/A
Man on Wire,89,8.2
Blow Out,86,7.9
Blow,52,7.3
Rise of the Guardians,58,7.4
The Great Gatsby,55,7.2
The Great Gatsby,55,7.2
Southpaw,62,tbd
The Impossible,73,7.8
The Wind That Shakes the Barley,82,7.6
Eraserhead,87,7.5
Glengarry Glen Ross,84,8.0
Ice Age,61,7.8
Eastern Promises,83,7.5
Bubble,63,5.4
Match Point,72,7.8
Road to Perdition,72,7.8
Jackie Brown,62,7.7
Philomena,77,7.8
Fantasia,96,8.1
Close Encounters of the Third Kind,90,7.8
The Little Mermaid,88,7.4
Red River,96,7.4
Sicko,74,7.6
The Big Short,81,8.0
The Lady from Shanghai,N/A,N/A
Cherry,tbd,8.3
Rudy,71,7.1
Down by Law,75,7.4
Minority Report,80,7.9
American Fiction,81,7.3
High Plains Drifter,69,7.3
The Abyss,62,7.5
Possession,tbd,8.5
Goldfinger,87,8.2
Judas and the Black Messiah,84,7.3
The Last Full Measure,51,6.7
Split,63,7.0
End of Watch,68,7.6
Harriet,66,7.0
20th Century Women,83,7.3
A Nightmare on Elm Street,35,4.7
A Nightmare on Elm Street,35,4.7
Meet Joe Black,43,6.8
Now You See Me,50,6.8
The Lunchbox,76,8.0
A Man for All Seasons,72,7.2
Watchmen,56,7.9
Speak No Evil,78,6.6
Speak No Evil,78,6.6
Lolita,46,6.8
Lolita,46,6.8
Avatar: The Way of Water,67,7.2
Indiana Jones and the Dial of Destiny,58,4.5
Pirates of the Caribbean: On Stranger Tides,45,6.3
Avengers: Age of Ultron,66,7.0
Fast X,56,4.8
Solo: A Star Wars Story,62,6.0
Avengers: Infinity War,68,8.7
